NAME,YEAR_LISTED,TYPE,REGION,DESCRIPTION
Name,Year Listed,Type,Region/State(s),Description
"Kutiyattam, Sanskrit theatre",2008,Performing arts,Kerala,Koodiyattam or Kutiyattam is performed by Chakyar and Nangyaramma castes of Kerala. It is a performing art that dates back to Sangam era.
Tradition of Vedic chanting,2008,Oral literature,Whole India,Vedic chanting is chanting of Sanskrit mantras or pathas. It is also a part of Sanskrit or Vedic study memorization.
"Ramlila, the traditional performance of the Ramayana",2008,Festival,Whole India (mainly North India),It is a re-enactment of God Rama's life according to Ramayana.
"Ramman, religious festival and ritual theatre of the Garhwal Himalayas, India",2009,Festival,"Garhwal, Uttarakhand",It is a festival of the Garhwali people of Salur Dungra village. Not performed anywhere else in the Himalayas.
Chhau dance,2010,Performing arts,"West Bengal, Jharkhand and Odisha","Purulia Chhau, Saraikela Chhau and Mayurbhanj Chhau are various styles of the dance."
Kalbelia folk songs and dances of Rajasthan,2010,Performing arts,Rajasthan,Kalbeliya is a snake charming tribe. They perform dance on traditional music.
"Mudiyettu, ritual theatre and dance drama of Kerala",2010,Performing arts,Kerala,It is a dance drama that enacts stories and tales of a battle between Kali and Darika.
"Buddhist chanting of Ladakh: recitation of sacred Buddhist texts in the trans-Himalayan Ladakh region, Jammu and Kashmir, India",2012,Oral literature,Ladakh,"Refers to the recitation of sacred Buddhist texts mainly performed by various sects such as Kagyud, Nyngma, Geluk, and Shakya."
"Sankirtana, ritual singing, drumming and dancing of Manipur",2013,Oral literature and performance,Manipur,"Refers to narration of Vaishnava God Krishna's story through singing, drumming and dancing."
"Traditional brass and copper craft of utensil making among the Thatheras of Jandiala Guru, Punjab, India",2014,Handicrafts,"Jandiala Guru, Punjab",Thatheras are artisan caste of Punjab who make brass and copper craft utensils.
Navroz,2016,Festival,Whole India,Navroz in India is mainly celebrated by Parsi community.
Yoga,2016,Performance,Whole India,Yoga is physical and spiritual practice originated in Ancient India. Every year 21 June is celebrated as International Yoga Day.
Kumbh Mela,2017,Festival,"Cities of Haridwar, Prayagraj, Trimbak-Nashik-Trimbak and Ujjain",Kumbh Mela is held every 12 years on rotation.
Durga Puja in Kolkata,2021,Festival,"Kolkata, West Bengal",It is a festival of worshipping of Goddess Durga.
Garba of Gujarat,2023,Festival,Gujarat,It is a form of dance and performed on festivals and occasions.
